,A+,A-,AB+,AB-,B+,B-,O+,O-
A+,81,0,2,0,0,0,0,2
A-,0,140,3,0,2,1,4,1
AB+,1,1,98,0,2,0,3,1
AB-,1,3,0,104,3,0,0,3
B+,0,3,5,1,87,2,0,0
B-,0,4,0,1,0,106,0,0
O+,2,0,1,0,0,0,124,1
O-,8,3,4,2,0,1,8,81
