blood_group,weight
A+,1.3287974683544304
A-,0.7434490084985835
AB+,1.0582157258064515
AB-,0.9847560975609756
B+,1.1510416666666667
B-,1.0113198458574182
O+,0.8806627516778524
O-,1.0539658634538152
