class,weight
A+,1.3257575757575757
A-,0.7436260623229461
AB+,1.0584677419354838
AB-,0.9849906191369606
B+,1.1513157894736843
B-,1.0115606936416186
O+,0.8808724832214765
O-,1.0542168674698795
