,A+,A-,AB+,AB-,B+,B-,O+,O-
A+,79,0,2,0,0,0,2,2
A-,0,137,1,2,3,4,2,2
AB+,2,0,97,0,3,0,3,1
AB-,1,4,1,101,2,2,0,3
B+,0,3,2,3,86,4,0,0
B-,0,4,0,1,1,105,0,0
O+,5,3,1,0,0,0,117,2
O-,3,2,2,4,0,0,9,87
